evidence_layer,setup,result,interpretation
Risk distillation,"1800 aligned visual/action samples","Random Forest teacher ROC-AUC 0.992","Lightweight visual_state_risk approximates heavier reliability evidence"
Runtime route states,"distilled risk trace","1350 NORMAL / 433 SUSPECT / 17 RECOVER / 0 HUMAN_REVIEW","Visual-state risk becomes concrete autonomy routing"
Outcome-linked validation,"distilled risk vs residual signals","top 10% risk captures 100% RECOVER/HUMAN_REVIEW","Risk is decision-relevant, not only a teacher-fitting score"
Synthetic 3D reliability,"3 seeds, 8 samples per scene","ROC-AUC 0.804 +/- 0.028","Embedding risk gives a reproducible smoke-test signal"
TUM RGB-D corruption,"300 depth files, 1800 samples","source-paired ROC-AUC 1.000","Controlled depth corruptions are detectable"
TUM scene-conditioned baseline,"same TUM run","ROC-AUC 0.483","Global clean references fail under camera motion"
TUM temporal reliability,"window +/- 5 frames","temporal excess ROC-AUC 1.000","Local temporal normalization improves reliability scoring"
Pose-aware global descriptor,"299 adjacent frame pairs","rotation correlation 0.061","Global statistics are weakly pose-aware"
Pose-aware grid descriptor,"299 adjacent frame pairs","rotation correlation 0.275","Local layout improves rotation sensitivity"
PCA depth descriptor,"32 components","rotation correlation 0.540","Lightweight learned depth descriptors are more promising"
Runtime monitor,"1800 TUM temporal samples","1350 NORMAL / 423 SUSPECT / 27 RECOVER","Scores can be converted into auditable runtime states"
Calibration,"TUM temporal risk scores","ROC-AUC 1.000; ECE gap 0.758","Ranking is strong, raw scores are not calibrated probabilities"
Trajectory residual,"400 synthetic action-outcome samples","ROC-AUC 0.990","Planned-vs-observed residuals detect execution failures"
